rank,status,prefix,markets,sides,qualified,live_skipped,n,median_ypd,median_spd,median_share_pct,median_touch,median_est_day,best,last_ts
45,ranked,spr/football/tsc,345,690,455,2,80,0.009,0.021,0.641,150.0,0.0011,"[{'market': 'tsc-nfl-phi-ten-2026-09-20-total-25pt5', 'side': 'BUY', 'ypd': 7.1918, 'share_pct': 88.121, 'touch': 0.1, 'px': 0.72, 'est_day': 5.1781, 'ts': 1788491323.8}, {'market': 'tsc-nfl-mia-lv-2026-09-13-tt1h-lv-12pt5', 'side': 'SELL', 'ypd': 4.6966, 'share_pct': 46.512, 'touch': 1.1, 'px': 0.51, 'est_day': 2.3953, 'ts': 1788518218.0}, {'market': 'tsc-nfl-no-det-2026-09-13-total-61pt5', 'side': 'SELL', 'ypd': 4.1818, 'share_pct': 13.406, 'touch': 0.4, 'px': 0.19, 'est_day': 0.7945, 'ts': 1788441422.5}, {'market': 'tsc-cfb-ohiost-tx-2026-09-12-total-61pt5', 'side': 'SELL', 'ypd': 3.7166, 'share_pct': 99.007, 'touch': 0.0, 'px': 0.23, 'est_day': 0.8548, 'ts': 1788345156.5}, {'market': 'tsc-nfl-lv-lac-2026-09-20-total-23pt5', 'side': 'BUY', 'ypd': 3.0382, 'share_pct': 51.546, 'touch': 0.9, 'px': 0.81, 'est_day': 2.461, 'ts': 1788585717.2}]",1788954113.4
46,ranked,aachc-lal,132,264,249,0,80,0.0083,0.285,0.794,106.0,0.0002,"[{'market': 'aachc-lal-2027-05-30-topscorer-antgor', 'side': 'SELL', 'ypd': 1.3122, 'share_pct': 90.909, 'touch': 0.1, 'px': 0.02, 'est_day': 0.0262, 'ts': 1788696851.4}, {'market': 'aachc-lal-2027-05-30-mostast-kylmba', 'side': 'SELL', 'ypd': 1.3122, 'share_pct': 90.909, 'touch': 0.1, 'px': 0.02, 'est_day': 0.0262, 'ts': 1788697824.3}, {'market': 'aachc-lal-2027-05-30-mostast-laltakkub', 'side': 'SELL', 'ypd': 1.1859, 'share_pct': 81.967, 'touch': 0.2, 'px': 0.02, 'est_day': 0.0237, 'ts': 1788784146.9}, {'market': 'aachc-lal-2027-05-30-topscorer-raphin', 'side': 'SELL', 'ypd': 0.955, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.03, 'est_day': 0.0286, 'ts': 1789003403.9}, {'market': 'aachc-lal-2027-05-30-mostast-lalandebar', 'side': 'SELL', 'ypd': 0.6889, 'share_pct': 47.619, 'touch': 1.1, 'px': 0.02, 'est_day': 0.0138, 'ts': 1788844243.7}]",1789003403.9
47,ranked,mac/monetary/cbpac,448,896,843,0,80,0.0076,0.003,0.052,1792.0,0.0012,"[{'market': 'cbpac-usfed-2026-cut', 'side': 'SELL', 'ypd': 0.0091, 'share_pct': 0.055, 'touch': 1823.3, 'px': 0.1, 'est_day': 0.0009, 'ts': 1789001527.9}, {'market': 'cbpac-usfed-2026-12-31-hike', 'side': 'SELL', 'ypd': 0.0004, 'share_pct': 0.02, 'touch': 4930.8, 'px': 0.73, 'est_day': 0.0003, 'ts': 1788996895.7}]",1789001527.9
48,ranked,pol/ruspol/pintc,66,132,127,0,80,0.0068,0.128,0.477,196.0,0.0003,"[{'market': 'pintc-meet-put-zel-2026-09-30', 'side': 'SELL', 'ypd': 0.3081, 'share_pct': 23.565, 'touch': 3.0, 'px': 0.04, 'est_day': 0.0123, 'ts': 1788972872.6}, {'market': 'pintc-meet-put-zel-2026-12-31', 'side': 'SELL', 'ypd': 0.0014, 'share_pct': 0.524, 'touch': 190.0, 'px': 0.19, 'est_day': 0.0003, 'ts': 1788869432.7}]",1788972872.6
49,ranked,cul/tv/ccrc,311,622,339,27,80,0.0067,0.095,0.349,220.0,0.0002,"[{'market': 'ccrc-ntflx-1shwglbl-2026-09-08-saljor', 'side': 'SELL', 'ypd': 2.1768, 'share_pct': 61.472, 'touch': 0.6, 'px': 0.02, 'est_day': 0.0435, 'ts': 1788617535.2}, {'market': 'ccrc-ntflx-1shwus-2026-09-08-saljor', 'side': 'SELL', 'ypd': 0.9655, 'share_pct': 27.266, 'touch': 1.6, 'px': 0.02, 'est_day': 0.0193, 'ts': 1788607723.0}, {'market': 'ccrc-ntflx-1shwus-2026-09-08-talsec', 'side': 'SELL', 'ypd': 0.8808, 'share_pct': 49.75, 'touch': 1.0, 'px': 0.04, 'est_day': 0.0352, 'ts': 1788611096.5}, {'market': 'ccrc-ntflx-1shwglbl-2026-09-08-letmar', 'side': 'SELL', 'ypd': 0.7264, 'share_pct': 30.769, 'touch': 2.2, 'px': 0.03, 'est_day': 0.0218, 'ts': 1788555631.2}, {'market': 'ccrc-ntflx-1shwglbl-2026-09-08-talsec', 'side': 'SELL', 'ypd': 0.1686, 'share_pct': 7.143, 'touch': 13.0, 'px': 0.03, 'est_day': 0.0051, 'ts': 1788626530.6}]",1788628419.1
50,ranked,tec-epl,95,190,173,0,80,0.0065,0.224,0.979,42.0,0.0003,"[{'market': 'tec-epl-pots-2027-05-30-w-eplwillsal', 'side': 'SELL', 'ypd': 0.3752, 'share_pct': 38.896, 'touch': 1.6, 'px': 0.03, 'est_day': 0.0113, 'ts': 1788785774.5}, {'market': 'tec-epl-pots-2027-05-30-w-eplebereze', 'side': 'SELL', 'ypd': 0.25, 'share_pct': 69.281, 'touch': 0.3, 'px': 0.08, 'est_day': 0.02, 'ts': 1788710369.7}, {'market': 'tec-epl-pots-2027-05-30-w-eplviktgyo', 'side': 'SELL', 'ypd': 0.195, 'share_pct': 47.169, 'touch': 1.1, 'px': 0.07, 'est_day': 0.0136, 'ts': 1788975269.3}, {'market': 'tec-epl-pots-2027-05-30-w-eplelland', 'side': 'SELL', 'ypd': 0.1938, 'share_pct': 73.69, 'touch': 0.3, 'px': 0.11, 'est_day': 0.0213, 'ts': 1788791434.5}, {'market': 'tec-epl-pots-2027-05-30-w-eplestevao', 'side': 'SELL', 'ypd': 0.1099, 'share_pct': 18.987, 'touch': 3.8, 'px': 0.05, 'est_day': 0.0055, 'ts': 1788787552.7}]",1789002584.3
51,ranked,spr/darts/aec,276,552,414,62,80,0.0064,0.007,0.422,150.0,0.0037,"[{'market': 'aec-modus-noaleu-neiduf-2026-09-01', 'side': 'SELL', 'ypd': 3.6096, 'share_pct': 99.006, 'touch': 0.0, 'px': 0.16, 'est_day': 0.5775, 'ts': 1788240913.8}, {'market': 'aec-modus-jorbro-dangod-2026-09-04', 'side': 'BUY', 'ypd': 0.7754, 'share_pct': 49.983, 'touch': 1.0, 'px': 0.24, 'est_day': 0.1861, 'ts': 1788478903.6}, {'market': 'aec-modus-jorbro-andham-2026-09-01', 'side': 'SELL', 'ypd': 0.3693, 'share_pct': 12.346, 'touch': 7.1, 'px': 0.39, 'est_day': 0.144, 'ts': 1788223848.5}, {'market': 'aec-modus-andham-jorbro-2026-09-04', 'side': 'SELL', 'ypd': 0.2314, 'share_pct': 49.728, 'touch': 1.0, 'px': 0.8, 'est_day': 0.1852, 'ts': 1788488586.5}, {'market': 'aec-modus-andham-marlay-2026-09-04', 'side': 'SELL', 'ypd': 0.1736, 'share_pct': 38.698, 'touch': 1.0, 'px': 0.83, 'est_day': 0.1441, 'ts': 1788498792.7}]",1788629089.5
52,ranked,astatc-cfb,116,232,54,0,54,0.0064,0.014,0.641,105.0,0.0023,"[{'market': 'astatc-cfb-arpb-missr-2026-09-03-take-a-1pt5', 'side': 'SELL', 'ypd': 1.168, 'share_pct': 16.665, 'touch': 5.0, 'px': 0.41, 'est_day': 0.4789, 'ts': 1788271928.1}, {'market': 'astatc-cfb-idaho-utah-2026-09-03-recyd-h-225pt5', 'side': 'SELL', 'ypd': 0.431, 'share_pct': 8.55, 'touch': 10.7, 'px': 0.57, 'est_day': 0.2457, 'ts': 1788270667.9}, {'market': 'astatc-cfb-idaho-utah-2026-09-03-dstd-0pt5', 'side': 'SELL', 'ypd': 0.0558, 'share_pct': 0.99, 'touch': 100.0, 'px': 0.51, 'est_day': 0.0285, 'ts': 1788265687.8}, {'market': 'astatc-cfb-col-gtech-2026-09-03-margin-l16', 'side': 'SELL', 'ypd': 0.0558, 'share_pct': 0.99, 'touch': 100.0, 'px': 0.51, 'est_day': 0.0285, 'ts': 1788266947.8}, {'market': 'astatc-cfb-buf-pennst-2026-09-19-take-h-2pt5', 'side': 'SELL', 'ypd': 0.0437, 'share_pct': 9.091, 'touch': 10.0, 'px': 0.49, 'est_day': 0.0214, 'ts': 1788835945.1}]",1789000414.0
53,ranked,pol/isrpol/mlaec,433,866,840,0,80,0.0055,0.11,0.745,76.0,0.0004,"[{'market': 'mlaec-isrpol-pm-2026-10-27-bengan', 'side': 'SELL', 'ypd': 0.0734, 'share_pct': 2.935, 'touch': 32.1, 'px': 0.02, 'est_day': 0.0015, 'ts': 1788925519.9}, {'market': 'mlaec-isrpol-pm-2026-10-27-ayesha', 'side': 'SELL', 'ypd': 0.0582, 'share_pct': 2.224, 'touch': 44.0, 'px': 0.02, 'est_day': 0.0012, 'ts': 1788972932.6}, {'market': 'mlaec-isrpol-pm-2026-10-27-gidsaa', 'side': 'SELL', 'ypd': 0.037, 'share_pct': 2.222, 'touch': 44.0, 'px': 0.03, 'est_day': 0.0011, 'ts': 1788953440.0}, {'market': 'mlaec-isrpol-pm-2026-10-27-yailap', 'side': 'SELL', 'ypd': 0.0307, 'share_pct': 1.283, 'touch': 75.5, 'px': 0.02, 'est_day': 0.0006, 'ts': 1788826518.8}, {'market': 'mlaec-isrpol-pm-2026-10-27-itaben', 'side': 'SELL', 'ypd': 0.0294, 'share_pct': 1.226, 'touch': 77.3, 'px': 0.02, 'est_day': 0.0006, 'ts': 1788817459.8}]",1789001734.8
54,ranked,cul/tv/rtc,201,402,336,252,80,0.0054,0.034,0.066,1530.0,0.0001,"[{'market': 'rtc-bbus-s28-2-2026-10-01-latver', 'side': 'SELL', 'ypd': 3.0, 'share_pct': 37.56, 'touch': 1.7, 'px': 0.02, 'est_day': 0.06, 'ts': 1788717908.2}, {'market': 'rtc-bbus-s28-winner-2026-10-01-taybro', 'side': 'SELL', 'ypd': 0.545, 'share_pct': 20.469, 'touch': 3.1, 'px': 0.06, 'est_day': 0.0327, 'ts': 1789001201.4}, {'market': 'rtc-bbus-s28-winner-2026-10-01-barpfe', 'side': 'SELL', 'ypd': 0.4743, 'share_pct': 53.447, 'touch': 0.7, 'px': 0.18, 'est_day': 0.0854, 'ts': 1788607723.0}, {'market': 'rtc-bbus-s28-3-2026-10-01-yaspat', 'side': 'SELL', 'ypd': 0.327, 'share_pct': 40.944, 'touch': 0.0, 'px': 0.2, 'est_day': 0.0654, 'ts': 1788974563.9}, {'market': 'rtc-bbus-s28-3-2026-10-01-drecam', 'side': 'SELL', 'ypd': 0.2648, 'share_pct': 21.551, 'touch': 3.6, 'px': 0.13, 'est_day': 0.0344, 'ts': 1788520318.0}]",1789001201.4
55,ranked,spr/baseball/atc,256,512,462,69,80,0.0054,0.012,0.398,150.0,0.0021,"[{'market': 'atc-mlb-sea-bos-2026-09-01-i7-sea', 'side': 'SELL', 'ypd': 0.1719, 'share_pct': 2.759, 'touch': 0.7, 'px': 0.17, 'est_day': 0.0292, 'ts': 1788282929.0}, {'market': 'atc-mlb-mia-kc-2026-09-01-i9-kc', 'side': 'SELL', 'ypd': 0.1522, 'share_pct': 2.012, 'touch': 16.0, 'px': 0.14, 'est_day': 0.0213, 'ts': 1788297631.3}, {'market': 'atc-mlb-sea-bos-2026-09-01-i9-sea', 'side': 'SELL', 'ypd': 0.1311, 'share_pct': 2.352, 'touch': 1.1, 'px': 0.19, 'est_day': 0.0249, 'ts': 1788292109.9}, {'market': 'atc-mlb-az-hou-2026-09-04-i1-hou', 'side': 'BUY', 'ypd': 0.0889, 'share_pct': 1.955, 'touch': 50.0, 'px': 0.11, 'est_day': 0.0098, 'ts': 1788433263.6}, {'market': 'atc-mlb-tb-tex-2026-09-05-i8-tb', 'side': 'SELL', 'ypd': 0.0726, 'share_pct': 3.661, 'touch': 25.0, 'px': 0.21, 'est_day': 0.0153, 'ts': 1788615238.3}]",1788629020.5
56,ranked,spr/baseball/tec,402,804,747,14,80,0.0053,0.015,0.01,3921.0,0.0,"[{'market': 'tec-mlb-alchamp-2026-09-27-tex', 'side': 'SELL', 'ypd': 0.3497, 'share_pct': 6.132, 'touch': 1.0, 'px': 0.062, 'est_day': 0.0217, 'ts': 1788310951.3}, {'market': 'tec-mlb-nl-2026-11-27-cy-shoima', 'side': 'SELL', 'ypd': 0.2098, 'share_pct': 0.059, 'touch': 3.0, 'px': 0.001, 'est_day': 0.0002, 'ts': 1788328605.0}, {'market': 'tec-mlb-nlchamp-2026-09-27-atl', 'side': 'SELL', 'ypd': 0.2032, 'share_pct': 7.641, 'touch': 12.0, 'px': 0.133, 'est_day': 0.027, 'ts': 1788725776.2}, {'market': 'tec-mlb-al-2026-11-27-cy-davmar', 'side': 'SELL', 'ypd': 0.1909, 'share_pct': 0.108, 'touch': 17.0, 'px': 0.002, 'est_day': 0.0004, 'ts': 1788625049.1}, {'market': 'tec-mlb-al-2026-11-27-cy-loggil', 'side': 'SELL', 'ypd': 0.1426, 'share_pct': 0.081, 'touch': 9.0, 'px': 0.002, 'est_day': 0.0003, 'ts': 1788282028.9}]",1789002212.0
57,ranked,pol/ruspol/opdc,64,128,121,0,80,0.0047,0.088,1.468,21.0,0.0007,"[{'market': 'opdc-zelenskyy-presuk-2027-06-30', 'side': 'SELL', 'ypd': 0.0655, 'share_pct': 33.221, 'touch': 2.0, 'px': 0.26, 'est_day': 0.017, 'ts': 1788753834.7}, {'market': 'opdc-zelenskyy-presuk-2026-12-31', 'side': 'SELL', 'ypd': 0.0002, 'share_pct': 0.087, 'touch': 1143.0, 'px': 0.19, 'est_day': 0.0, 'ts': 1788902002.0}]",1788902002.0
58,ranked,arankc-epl,124,248,232,0,80,0.0043,0.147,6.68,8.0,0.0019,"[{'market': 'arankc-epl-2027-05-30-top2-lee', 'side': 'SELL', 'ypd': 1.3122, 'share_pct': 90.908, 'touch': 0.1, 'px': 0.02, 'est_day': 0.0262, 'ts': 1788717368.1}, {'market': 'arankc-epl-2027-05-30-top4-ips', 'side': 'SELL', 'ypd': 1.1045, 'share_pct': 76.52, 'touch': 0.3, 'px': 0.02, 'est_day': 0.0221, 'ts': 1788729969.8}, {'market': 'arankc-epl-2027-05-30-top6-cov', 'side': 'SELL', 'ypd': 0.951, 'share_pct': 65.736, 'touch': 0.5, 'px': 0.02, 'est_day': 0.019, 'ts': 1788798799.2}, {'market': 'arankc-epl-2027-05-30-top2-ips', 'side': 'SELL', 'ypd': 0.9042, 'share_pct': 62.499, 'touch': 0.6, 'px': 0.02, 'est_day': 0.0181, 'ts': 1788850143.6}, {'market': 'arankc-epl-2027-05-30-top4-new', 'side': 'SELL', 'ypd': 0.8037, 'share_pct': 83.332, 'touch': 0.2, 'px': 0.03, 'est_day': 0.0241, 'ts': 1788788190.5}]",1789004152.4
59,ranked,cul/awd/tac,347,694,673,124,80,0.004,0.05,0.218,234.0,0.0002,"[{'market': 'tac-oscars-03-14-2027-bestpic-socrec', 'side': 'SELL', 'ypd': 3.8198, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.04, 'est_day': 0.1528, 'ts': 1788345456.5}, {'market': 'tac-oscars-03-14-2027-bestpic-iboo', 'side': 'SELL', 'ypd': 1.5249, 'share_pct': 19.763, 'touch': 4.1, 'px': 0.02, 'est_day': 0.0305, 'ts': 1788384056.4}, {'market': 'tac-nobel-peace-2026-10-09-cpj', 'side': 'SELL', 'ypd': 0.9327, 'share_pct': 11.677, 'touch': 6.0, 'px': 0.02, 'est_day': 0.0187, 'ts': 1789001201.4}, {'market': 'tac-emmys-dds-2026-09-14-sallir', 'side': 'SELL', 'ypd': 0.6121, 'share_pct': 17.286, 'touch': 4.2, 'px': 0.02, 'est_day': 0.0122, 'ts': 1788624548.8}, {'market': 'tac-emmys-vlive-2026-09-14-theton', 'side': 'SELL', 'ypd': 0.4354, 'share_pct': 12.295, 'touch': 7.1, 'px': 0.02, 'est_day': 0.0087, 'ts': 1788764898.8}]",1789001201.4
60,ranked,spr/football/atc,155,310,204,4,80,0.0039,0.035,2.058,30.0,0.0009,"[{'market': 'atc-nfl-atl-pit-2026-09-13-winner-3q-draw', 'side': 'SELL', 'ypd': 5.8356, 'share_pct': 14.286, 'touch': 6.0, 'px': 0.24, 'est_day': 1.4005, 'ts': 1788443222.5}, {'market': 'atc-nfl-sf-lar-2026-09-10-winner-2q-sf', 'side': 'SELL', 'ypd': 3.82, 'share_pct': 18.703, 'touch': 4.0, 'px': 0.48, 'est_day': 1.8336, 'ts': 1788568990.3}, {'market': 'atc-cfb-arpb-missr-2026-09-03-winner-4q-missr', 'side': 'SELL', 'ypd': 3.7968, 'share_pct': 11.892, 'touch': 7.0, 'px': 0.87, 'est_day': 3.3032, 'ts': 1788366443.6}, {'market': 'atc-nfl-buf-hou-2026-09-13-winner-2q-draw', 'side': 'SELL', 'ypd': 3.2613, 'share_pct': 10.978, 'touch': 0.1, 'px': 0.33, 'est_day': 1.0762, 'ts': 1788492388.5}, {'market': 'atc-nfl-atl-pit-2026-09-13-winner-1h-draw', 'side': 'SELL', 'ypd': 3.1975, 'share_pct': 4.566, 'touch': 20.0, 'px': 0.14, 'est_day': 0.4477, 'ts': 1788569830.3}]",1788975049.7
61,ranked,asc-cfb,162,324,130,0,80,0.0039,0.02,0.977,100.0,0.0014,"[{'market': 'asc-cfb-mst-nd-2026-09-19-neg-21pt5', 'side': 'SELL', 'ypd': 29.7378, 'share_pct': 96.787, 'touch': 0.0, 'px': 0.02, 'est_day': 0.5948, 'ts': 1788784625.6}, {'market': 'asc-cfb-bowlgr-nebr-2026-09-12-pos-25pt5', 'side': 'SELL', 'ypd': 28.0066, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.04, 'est_day': 1.1203, 'ts': 1788518218.0}, {'market': 'asc-cfb-mst-nd-2026-09-19-neg-20pt5', 'side': 'SELL', 'ypd': 15.0783, 'share_pct': 49.135, 'touch': 1.0, 'px': 0.02, 'est_day': 0.3016, 'ts': 1788827541.0}, {'market': 'asc-cfb-mst-nd-2026-09-19-pos-1pt5', 'side': 'SELL', 'ypd': 7.7223, 'share_pct': 49.505, 'touch': 1.0, 'px': 0.04, 'est_day': 0.3089, 'ts': 1788848384.5}, {'market': 'asc-cfb-tows-sc-2026-09-12-pos-27pt5', 'side': 'SELL', 'ypd': 4.4941, 'share_pct': 94.179, 'touch': 0.0, 'px': 0.13, 'est_day': 0.5842, 'ts': 1788994559.2}]",1789000097.2
62,ranked,tsc-cfb,93,186,99,0,80,0.0037,0.015,0.738,100.0,0.002,"[{'market': 'tsc-cfb-flatl-fl-2026-09-05-total-75pt5', 'side': 'SELL', 'ypd': 1.4209, 'share_pct': 93.809, 'touch': 0.0, 'px': 0.19, 'est_day': 0.27, 'ts': 1788269167.8}, {'market': 'tsc-cfb-arz-byu-2026-09-12-total-63pt5', 'side': 'SELL', 'ypd': 1.3754, 'share_pct': 33.003, 'touch': 2.0, 'px': 0.22, 'est_day': 0.3026, 'ts': 1788716781.4}, {'market': 'tsc-cfb-rice-nd-2026-09-12-total-63pt5', 'side': 'SELL', 'ypd': 0.0543, 'share_pct': 1.4, 'touch': 23.5, 'px': 0.23, 'est_day': 0.0125, 'ts': 1788819751.3}, {'market': 'tsc-cfb-utep-mich-2026-09-19-total-39pt5', 'side': 'SELL', 'ypd': 0.018, 'share_pct': 1.99, 'touch': 49.0, 'px': 0.64, 'est_day': 0.0115, 'ts': 1788954686.3}, {'market': 'tsc-cfb-murst-okst-2026-09-19-2h-21pt5', 'side': 'SELL', 'ypd': 0.007, 'share_pct': 0.99, 'touch': 100.0, 'px': 0.75, 'est_day': 0.0052, 'ts': 1788998404.2}]",1789002804.7
63,ranked,cul/music/ccrc,332,664,613,111,80,0.0034,0.029,0.108,867.0,0.0001,"[{'market': 'ccrc-sptfy-1-artst-us-yr-2026-morwal', 'side': 'SELL', 'ypd': 2.1993, 'share_pct': 62.109, 'touch': 0.6, 'px': 0.02, 'est_day': 0.044, 'ts': 1788759253.4}, {'market': 'ccrc-sptfy-1-artst-us-yr-2026-badbun', 'side': 'SELL', 'ypd': 0.7631, 'share_pct': 96.977, 'touch': 0.0, 'px': 0.09, 'est_day': 0.0687, 'ts': 1788705627.0}, {'market': 'ccrc-sptfy-n1-song-us-yr-2026-earrin', 'side': 'SELL', 'ypd': 0.3707, 'share_pct': 10.468, 'touch': 8.6, 'px': 0.02, 'est_day': 0.0074, 'ts': 1788824468.4}, {'market': 'ccrc-sptfy-n1-song-us-yr-2026-dropde', 'side': 'SELL', 'ypd': 0.11, 'share_pct': 3.106, 'touch': 31.2, 'px': 0.02, 'est_day': 0.0022, 'ts': 1788766876.4}, {'market': 'ccrc-sptfy-n1-song-us-yr-2026-billie', 'side': 'SELL', 'ypd': 0.0091, 'share_pct': 0.2, 'touch': 500.0, 'px': 0.02, 'est_day': 0.0002, 'ts': 1788974563.9}]",1789001201.4
64,ranked,spr/football/astatc,389,778,470,8,80,0.0032,0.069,2.954,8.0,0.0013,"[{'market': 'astatc-nfl-chi-car-2026-09-13-recyd-chuhub-gte40', 'side': 'SELL', 'ypd': 381.3423, 'share_pct': 74.074, 'touch': 0.3, 'px': 0.02, 'est_day': 7.6268, 'ts': 1788458511.3}, {'market': 'astatc-nfl-cle-jax-2026-09-13-td-britho-gte1', 'side': 'SELL', 'ypd': 334.9694, 'share_pct': 99.01, 'touch': 0.0, 'px': 0.02, 'est_day': 6.6994, 'ts': 1788483433.9}, {'market': 'astatc-nfl-ari-lac-2026-09-13-td-marhar-gte2', 'side': 'SELL', 'ypd': 333.2523, 'share_pct': 94.34, 'touch': 0.1, 'px': 0.02, 'est_day': 6.665, 'ts': 1788469926.9}, {'market': 'astatc-nfl-dal-nyg-2026-09-13-recyd-odebec-gte40', 'side': 'SELL', 'ypd': 308.9016, 'share_pct': 94.34, 'touch': 0.1, 'px': 0.02, 'est_day': 6.178, 'ts': 1788519838.0}, {'market': 'astatc-nfl-ari-lac-2026-09-13-ptd-jusher-gte4', 'side': 'SELL', 'ypd': 282.2721, 'share_pct': 86.207, 'touch': 0.2, 'px': 0.02, 'est_day': 5.6454, 'ts': 1788544940.9}]",1788975049.7
65,ranked,astatc-lgscup,68,136,63,0,63,0.003,0.017,0.662,101.0,0.0008,"[{'market': 'astatc-lgscup-tol-mon-2026-09-06-fh-ftts-tol', 'side': 'BUY', 'ypd': 0.5548, 'share_pct': 98.092, 'touch': 0.0, 'px': 0.17, 'est_day': 0.0943, 'ts': 1788719284.1}, {'market': 'astatc-lgscup-tol-mon-2026-09-06-fh-ftts-none', 'side': 'SELL', 'ypd': 0.4277, 'share_pct': 99.009, 'touch': 0.0, 'px': 0.23, 'est_day': 0.0984, 'ts': 1788743091.7}, {'market': 'astatc-lgscup-leo-ame-2026-09-06-sh-ftts-ame', 'side': 'SELL', 'ypd': 0.0803, 'share_pct': 45.728, 'touch': 1.0, 'px': 0.49, 'est_day': 0.0394, 'ts': 1788713690.4}, {'market': 'astatc-lgscup-leo-ame-2026-09-06-fh-btts', 'side': 'SELL', 'ypd': 0.0063, 'share_pct': 1.759, 'touch': 50.0, 'px': 0.27, 'est_day': 0.0017, 'ts': 1788721243.6}, {'market': 'astatc-lgscup-tol-mon-2026-09-06-sh-btts', 'side': 'SELL', 'ypd': 0.0048, 'share_pct': 1.961, 'touch': 50.0, 'px': 0.39, 'est_day': 0.0019, 'ts': 1788725031.9}]",1788778692.7
66,ranked,pol/argpol/ewc,438,876,844,0,80,0.0028,0.055,0.218,456.0,0.0001,"[{'market': 'ewc-pres-arg-2027-10-24-dangeb', 'side': 'SELL', 'ypd': 1.6763, 'share_pct': 64.103, 'touch': 0.5, 'px': 0.02, 'est_day': 0.0335, 'ts': 1788972872.6}, {'market': 'ewc-pres-arg-2027-10-24-maumac', 'side': 'SELL', 'ypd': 0.4586, 'share_pct': 19.152, 'touch': 4.1, 'px': 0.02, 'est_day': 0.0092, 'ts': 1788817399.8}, {'market': 'ewc-pres-arg-2027-10-24-estbul', 'side': 'SELL', 'ypd': 0.0653, 'share_pct': 2.725, 'touch': 35.3, 'px': 0.02, 'est_day': 0.0013, 'ts': 1788815582.7}, {'market': 'ewc-pres-arg-2027-10-24-juagra', 'side': 'SELL', 'ypd': 0.0166, 'share_pct': 0.664, 'touch': 148.0, 'px': 0.02, 'est_day': 0.0003, 'ts': 1788929262.3}, {'market': 'ewc-pres-arg-2027-10-24-axekic', 'side': 'SELL', 'ypd': 0.0149, 'share_pct': 8.348, 'touch': 9.0, 'px': 0.28, 'est_day': 0.0042, 'ts': 1788927419.9}]",1789001734.8
67,ranked,spr/football/aqc,66,132,95,270,80,0.0028,0.045,1.638,39.0,0.0009,"[{'market': 'aqc-nfl-afc-2027-01-24-champq-cle', 'side': 'SELL', 'ypd': 0.3139, 'share_pct': 8.081, 'touch': 11.1, 'px': 0.02, 'est_day': 0.0063, 'ts': 1788455690.6}, {'market': 'aqc-nfl-2027-01-10-playoffq-car', 'side': 'SELL', 'ypd': 0.2996, 'share_pct': 32.678, 'touch': 2.1, 'px': 0.41, 'est_day': 0.1228, 'ts': 1788309211.1}, {'market': 'aqc-nfl-afc-2027-01-24-champq-lv', 'side': 'SELL', 'ypd': 0.1803, 'share_pct': 7.082, 'touch': 13.1, 'px': 0.02, 'est_day': 0.0036, 'ts': 1788532118.3}, {'market': 'aqc-nfl-afc-2027-01-24-champq-kc', 'side': 'SELL', 'ypd': 0.0594, 'share_pct': 35.022, 'touch': 1.4, 'px': 0.3, 'est_day': 0.0178, 'ts': 1788533991.7}, {'market': 'aqc-nfl-2027-01-10-playoffq-ari', 'side': 'SELL', 'ypd': 0.0148, 'share_pct': 2.25, 'touch': 26.9, 'px': 0.07, 'est_day': 0.001, 'ts': 1788585657.2}]",1788591470.5
68,ranked,fin/earnings/kpic,454,908,888,0,80,0.0026,0.004,0.148,677.0,0.0011,"[{'market': 'kpic-tsla-dlvrs-2026-q3-above-480k', 'side': 'SELL', 'ypd': 0.0814, 'share_pct': 6.178, 'touch': 15.0, 'px': 0.55, 'est_day': 0.0448, 'ts': 1788925339.3}, {'market': 'kpic-tsla-dlvrs-2026-q3-above-520k', 'side': 'SELL', 'ypd': 0.0803, 'share_pct': 1.772, 'touch': 53.0, 'px': 0.16, 'est_day': 0.0128, 'ts': 1789001394.6}, {'market': 'kpic-tsla-dlvrs-2026-q3-above-470k', 'side': 'SELL', 'ypd': 0.005, 'share_pct': 0.483, 'touch': 84.9, 'px': 0.7, 'est_day': 0.0035, 'ts': 1788996435.7}, {'market': 'kpic-tsla-dlvrs-2026-q3-above-510k', 'side': 'SELL', 'ypd': 0.0036, 'share_pct': 0.159, 'touch': 629.1, 'px': 0.32, 'est_day': 0.0012, 'ts': 1788927239.8}, {'market': 'kpic-tsla-dlvrs-2026-q3-above-500k', 'side': 'SELL', 'ypd': 0.0026, 'share_pct': 0.164, 'touch': 608.0, 'px': 0.45, 'est_day': 0.0012, 'ts': 1788923445.9}]",1789001394.6
