ts,family,market,side,qty,px,purpose,est_day,rested_h,fair,band_lo,band_hi,conf,touch_bid,touch_ask,conc,pos_after,why,oid
1788913319.5,cfb,aachc-cfb-wins-2026-11-28-sdst-8pt5wins,SELL,0.01,0.36,backfill,,13.05,,,,,,,,,recovered from the exchange's transaction history — this fill was never journale,CC663A9VWR40
1788915650.6,cfb,aachc-cfb-wins-2026-11-28-washst-7pt5wins,SELL,2,0.35,sell,0.0269,0.49,,34,38,0.797,0.33,0.34,0.01,0,selling filled stock — it earns while it waits,CCHFPH0EWR3W
1788917228.1,nfl,aqc-nfl-2027-01-10-playoffq-sea,SELL,1,0.68,sell,0,0,,66,73,0,0.68,0.69,0.01,0,taker dump — sold into the bid (the carved exception),CCJ93YRJ4R3Z
1788918346.4,nfl,fptc-nfl-tefpou-2027-01-10-mikges,BUY,0.02,0.68,backfill,,0.07,,,,,,,,,recovered from the exchange's transaction history — this fill was never journale,CCJF2WTRPR45
1788918397.4,cfb,aachc-cfb-wins-2026-11-28-sc-7pt5wins,BUY,1,0.46,sell,0.3538,7.7,,45,50,0.656,0.39,0.47,-0.02,2,buying back the short at or under what it sold for — the bid earns while it wait,CCBWEB7RMR3Y
1788918457.4,nfl,tec-nfl-oroy-2027-02-11-w-jadpri,SELL,0.5,0.23,earn,0.0937,0.05,,14,25,0,0.17,0.23,-0.03,-0.5,exploring (+$0.30/day to learn this depth) — joins the touch — the book has been,CCJGDBW2YR46
1788918671.9,nfl,aqc-nfl-afc-2027-01-24-champq-cin,BUY,1,0.33,earn,0.9375,0.06,,10,31,0,0.06,0.34,0.12,1,exploring (+$0.30/day to learn this depth) — joins the touch — the book has been,CCJJF4FFWR3X
1788918852.5,nfl,tec-nfl-afcnorth-2027-01-10-w-pit,BUY,1,0.18,earn,0.1767,0.13,,10,21,0,0.18,0.19,0.02,1,exploring (+$0.30/day to learn this depth) — 1 tick in front of the touch — we w,CCJJA2E7ER47
1788919359.5,nfl,ftsc-nfl-rbmostfp-w1-2026-09-14-jonabro,BUY,0.01,0.14,earn,0.2696,0.03,,3,15,0,0.11,0.14,0.05,0.01,exploring (+$0.27/day to learn this depth) — joins the touch — the book has been,CCJRSC858R3Z
1788920183.7,nfl,tec-nfl-oroy-2027-02-11-w-cartat,BUY,1,0.15,backfill,,0.16,,,,,,,,,recovered from the exchange's transaction history — this fill was never journale,CCJVJ3RMJR3Y
1788920183.7,nfl,tec-nfl-oroy-2027-02-11-w-jerlov,BUY,1,0.18,backfill,,0.49,,,,,,,,,recovered from the exchange's transaction history — this fill was never journale,CCJHX3488R42
1788920215.1,cfb,aachc-cfb-wins-2026-11-28-sc-7pt5wins,SELL,1,0.43,backfill,,0.41,,,,,,,,,recovered from the exchange's transaction history — this fill was never journale,CCJMAJ4NPR46
1788920282.4,nfl,fptc-nfl-tefpou-2027-01-10-patfre,SELL,0.05,0.2,backfill,,0.25,,,,,,,,,recovered from the exchange's transaction history — this fill was never journale,CCJSVBHNRR45
1788920564.7,nfl,tec-nfl-droy-2027-02-11-w-jermcc,BUY,0.01,0.02,earn,0,0.53,,2,11,0,0.02,0.03,-0.03,0.01,exploring (+$0.29/day to learn this depth) — 1 tick in front of the touch — we w,CCJMJ9P4WR3Y
1788920564.7,nfl,tec-nfl-droy-2027-02-11-w-kelfau,BUY,0.01,0.02,earn,0,0.51,,2,9,0,0.02,0.03,-0.02,0.01,exploring (+$0.29/day to learn this depth) — 1 tick in front of the touch — we w,CCJMSPD6JR3W
1788920616.2,nfl,fptc-nfl-rbfpou-2027-01-10-ashjea,SELL,0.01,0.04,backfill,,0.07,,,,,,,,,recovered from the exchange's transaction history — this fill was never journale,CCK0WNZQ2R46
1788920744.8,nfl,fptc-nfl-rbfpou-2027-01-10-jontay,BUY,0.01,0.74,earn,0,0.4,,51,74,0,0.68,0.74,0.08,0.01,exploring (+$0.26/day to learn this depth) — joins the touch — the book has been,CCJSF4D8WR3W
